GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
nitflex-web-bbdd-rest,es.codeurjc.web.nitflex,Application,5,3,0,0,2,1,1,1,1,1
nitflex-web-bbdd-rest,es.codeurjc.web.nitflex,DatabaseInitializer,147,25,1,1,19,11,2,3,1,3
nitflex-web-bbdd-rest,es.codeurjc.web.nitflex.controller.web,FilmWebController,328,27,6,0,65,10,15,1,12,1
nitflex-web-bbdd-rest,es.codeurjc.web.nitflex.controller.web,UserWebController,25,9,0,0,6,4,3,1,3,1
nitflex-web-bbdd-rest,es.codeurjc.web.nitflex.model,User,49,3,0,0,18,1,9,1,9,1
nitflex-web-bbdd-rest,es.codeurjc.web.nitflex.model,Film,87,109,8,0,19,39,11,16,7,16
nitflex-web-bbdd-rest,es.codeurjc.web.nitflex.model,Review,179,10,24,0,38,4,27,1,15,1
nitflex-web-bbdd-rest,es.codeurjc.web.nitflex.controller.rest,UserRestController,16,9,0,0,2,4,2,1,2,1
nitflex-web-bbdd-rest,es.codeurjc.web.nitflex.controller.rest,FilmRestController,81,9,4,0,16,4,9,1,7,1
nitflex-web-bbdd-rest,es.codeurjc.web.nitflex.service,FilmService,134,95,11,3,22,21,15,6,8,6
nitflex-web-bbdd-rest,es.codeurjc.web.nitflex.service,UserComponent,7,6,0,0,1,3,1,1,1,1
nitflex-web-bbdd-rest,es.codeurjc.web.nitflex.service,FavoriteFilmService,73,12,0,0,12,5,6,1,6,1
nitflex-web-bbdd-rest,es.codeurjc.web.nitflex.service,UserService,24,6,0,0,4,3,4,1,4,1
nitflex-web-bbdd-rest,es.codeurjc.web.nitflex.service,ReviewService,70,18,0,0,12,7,4,1,4,1
nitflex-web-bbdd-rest,es.codeurjc.web.nitflex.service.exceptions,FilmNotFoundException,5,0,0,0,2,0,1,0,1,0
nitflex-web-bbdd-rest,es.codeurjc.web.nitflex.configuration,WebErrorHandler,38,6,2,0,7,2,2,1,1,1
nitflex-web-bbdd-rest,es.codeurjc.web.nitflex.configuration,RestErrorHandler,38,3,5,0,7,1,4,1,1,1
nitflex-web-bbdd-rest,es.codeurjc.web.nitflex.configuration,UserModelAttributes,12,6,0,0,2,3,2,1,2,1
nitflex-web-bbdd-rest,es.codeurjc.web.nitflex.utils,AgeRatingOptionsUtils.AgeRatingOption,9,0,0,0,1,0,1,0,1,0
nitflex-web-bbdd-rest,es.codeurjc.web.nitflex.utils,ImageUtils,66,6,6,0,15,2,6,1,3,1
nitflex-web-bbdd-rest,es.codeurjc.web.nitflex.utils,AgeRatingOptionsUtils,22,0,0,0,7,0,3,0,3,0
nitflex-web-bbdd-rest,es.codeurjc.web.nitflex.utils,AgeRatingOptionsUtils.AgeRating,49,0,0,0,10,0,3,0,3,0
